type,cost,datetime,timestamp,symbol,price,amount
,175.5254844,2024-03-22T22:17:16.000Z,1711145836000,DOGE/USDT,0.14973,1172.28
,55.4172766,2024-03-22T22:17:17.000Z,1711145837000,DOGE/USDT,0.14974,370.09
,23.3085284,2024-03-22T22:17:17.000Z,1711145837000,DOGE/USDT,0.14974,155.66
,27.7112375,2024-03-22T22:17:19.000Z,1711145839000,DOGE/USDT,0.14975,185.05
,113.764965,2024-03-22T22:17:21.000Z,1711145841000,DOGE/USDT,0.14974,759.75
,8.1997624,2024-03-22T22:17:21.000Z,1711145841000,DOGE/USDT,0.14974,54.76
,89.4351925,2024-03-22T22:17:22.000Z,1711145842000,DOGE/USDT,0.14975,597.23
,17.1388875,2024-03-22T22:17:22.000Z,1711145842000,DOGE/USDT,0.14975,114.45
,234.5159875,2024-03-22T22:17:23.000Z,1711145843000,DOGE/USDT,0.14975,1566.05
,6747.5299736,2024-03-22T22:17:23.000Z,1711145843000,DOGE/USDT,0.14974,45061.64
,757.3980625,2024-03-22T22:17:23.000Z,1711145843000,DOGE/USDT,0.14975,5057.75
,297.9654912,2024-03-22T22:17:24.000Z,1711145844000,DOGE/USDT,0.14976,1989.62
,31.540345,2024-03-22T22:17:24.000Z,1711145844000,DOGE/USDT,0.14975,210.62
,617.1654528,2024-03-22T22:17:24.000Z,1711145844000,DOGE/USDT,0.14976,4121.03
,302.2746332,2024-03-22T22:17:27.000Z,1711145847000,DOGE/USDT,0.14981,2017.72
,169.5339846,2024-03-22T22:17:27.000Z,1711145847000,DOGE/USDT,0.14981,1131.66
,289.2579711,2024-03-22T22:17:29.000Z,1711145849000,DOGE/USDT,0.14979,1931.09
,576.117318,2024-03-22T22:17:29.000Z,1711145849000,DOGE/USDT,0.1498,3845.91
,494.844826,2024-03-22T22:17:29.000Z,1711145849000,DOGE/USDT,0.1498,3303.37
,352.8593152,2024-03-22T22:17:36.000Z,1711145856000,DOGE/USDT,0.14974,2356.48
,29.0332603,2024-03-22T22:17:38.000Z,1711145858000,DOGE/USDT,0.14971,193.93
,1065.2510904,2024-03-22T22:17:39.000Z,1711145859000,DOGE/USDT,0.14973,7114.48
,759.7060632,2024-03-22T22:17:39.000Z,1711145859000,DOGE/USDT,0.14973,5073.84
,83.9734736,2024-03-22T22:17:43.000Z,1711145863000,DOGE/USDT,0.14968,561.02
,62.648564,2024-03-22T22:17:43.000Z,1711145863000,DOGE/USDT,0.14968,418.55
,98.7807033,2024-03-22T22:17:44.000Z,1711145864000,DOGE/USDT,0.14967,659.99
,205.4280618,2024-03-22T22:17:44.000Z,1711145864000,DOGE/USDT,0.14967,1372.54
,46.804936,2024-03-22T22:17:45.000Z,1711145865000,DOGE/USDT,0.14968,312.7
,86.1906906,2024-03-22T22:17:45.000Z,1711145865000,DOGE/USDT,0.14966,575.91
,67.704618,2024-03-22T22:17:48.000Z,1711145868000,DOGE/USDT,0.14964,452.45
,206.4268836,2024-03-22T22:17:48.000Z,1711145868000,DOGE/USDT,0.14964,1379.49
,543.3237795,2024-03-22T22:17:48.000Z,1711145868000,DOGE/USDT,0.14965,3630.63
,566.274295,2024-03-22T22:17:49.000Z,1711145869000,DOGE/USDT,0.14962,3784.75
,971.5110878,2024-03-22T22:17:49.000Z,1711145869000,DOGE/USDT,0.14962,6493.19
,41.4748842,2024-03-22T22:17:50.000Z,1711145870000,DOGE/USDT,0.14961,277.22
,32.0075634,2024-03-22T22:17:50.000Z,1711145870000,DOGE/USDT,0.14961,213.94
,39.9134772,2024-03-22T22:17:53.000Z,1711145873000,DOGE/USDT,0.14964,266.73
,60.6417939,2024-03-22T22:17:54.000Z,1711145874000,DOGE/USDT,0.14967,405.17
