amount,datetime,type,symbol,price,cost,timestamp
17202.0,2024-03-17T00:05:00.352Z,limit,DOGE/USDT,0.14476,2490.16152,1710633900352
26314.0,2024-03-17T00:05:01.981Z,limit,DOGE/USDT,0.14476,3809.21464,1710633901981
876.0,2024-03-17T00:05:05.193Z,limit,DOGE/USDT,0.1446,126.6696,1710633905193
20476.0,2024-03-17T00:05:20.215Z,limit,DOGE/USDT,0.14446,2957.96296,1710633920215
18356.0,2024-03-17T00:05:21.263Z,limit,DOGE/USDT,0.14447,2651.89132,1710633921263
15612.0,2024-03-17T00:05:25.990Z,limit,DOGE/USDT,0.14442,2254.68504,1710633925990
13556.0,2024-03-17T00:05:27.533Z,limit,DOGE/USDT,0.14441,1957.62196,1710633927533
26726.0,2024-03-17T00:05:29.113Z,limit,DOGE/USDT,0.14447,3861.10522,1710633929113
20643.0,2024-03-17T00:05:30.226Z,limit,DOGE/USDT,0.14445,2981.88135,1710633930226
22095.0,2024-03-17T00:05:31.742Z,limit,DOGE/USDT,0.14445,3191.62275,1710633931742
31289.0,2024-03-17T00:05:32.793Z,limit,DOGE/USDT,0.14447,4520.32183,1710633932793
19160.0,2024-03-17T00:05:33.839Z,limit,DOGE/USDT,0.14444,2767.4704,1710633933839
702.0,2024-03-17T00:05:35.442Z,limit,DOGE/USDT,0.14454,101.46708,1710633935442
11964.0,2024-03-17T00:05:35.962Z,limit,DOGE/USDT,0.14454,1729.27656,1710633935962
2716.0,2024-03-17T00:05:41.767Z,limit,DOGE/USDT,0.14445,392.3262,1710633941767
32093.0,2024-03-17T00:05:42.839Z,limit,DOGE/USDT,0.14446,4636.15478,1710633942839
31453.0,2024-03-17T00:05:43.883Z,limit,DOGE/USDT,0.14439,4541.49867,1710633943883
33059.0,2024-03-17T00:05:44.940Z,limit,DOGE/USDT,0.14441,4774.05019,1710633944940
27142.0,2024-03-17T00:05:50.723Z,limit,DOGE/USDT,0.14453,3922.83326,1710633950723
16863.0,2024-03-17T00:05:56.468Z,limit,DOGE/USDT,0.14442,2435.35446,1710633956468
7371.0,2024-03-17T00:06:25.542Z,limit,DOGE/USDT,0.14456,1065.55176,1710633985542
15516.0,2024-03-17T00:06:30.286Z,limit,DOGE/USDT,0.1443,2238.9588,1710633990286
20585.0,2024-03-17T00:06:55.181Z,limit,DOGE/USDT,0.14442,2972.8857,1710634015181
16572.0,2024-03-17T00:07:02.102Z,limit,DOGE/USDT,0.14444,2393.65968,1710634022102
7804.0,2024-03-17T00:07:08.877Z,limit,DOGE/USDT,0.1445,1127.678,1710634028877
19454.0,2024-03-17T00:07:19.387Z,limit,DOGE/USDT,0.14454,2811.88116,1710634039387
2023.0,2024-03-17T00:07:26.749Z,limit,DOGE/USDT,0.1445,292.3235,1710634046749
7120.0,2024-03-17T00:07:42.605Z,limit,DOGE/USDT,0.1447,1030.264,1710634062605
509.0,2024-03-17T00:07:53.041Z,limit,DOGE/USDT,0.14485,73.72865,1710634073041
20124.0,2024-03-17T00:08:06.942Z,limit,DOGE/USDT,0.1449,2915.9676,1710634086942
16088.0,2024-03-17T00:08:08.520Z,limit,DOGE/USDT,0.1449,2331.1512,1710634088520
10299.0,2024-03-17T00:08:12.689Z,limit,DOGE/USDT,0.14488,1492.11912,1710634092689
16079.0,2024-03-17T00:08:18.978Z,limit,DOGE/USDT,0.14472,2326.95288,1710634098978
18015.0,2024-03-17T00:08:32.726Z,limit,DOGE/USDT,0.14449,2602.98735,1710634112726
18809.0,2024-03-17T00:08:45.348Z,limit,DOGE/USDT,0.14465,2720.72185,1710634125348
3333.0,2024-03-17T00:08:46.935Z,limit,DOGE/USDT,0.14464,482.08512,1710634126935
12192.0,2024-03-17T00:08:51.633Z,limit,DOGE/USDT,0.1446,1762.9632,1710634131633
752.0,2024-03-17T00:09:05.382Z,limit,DOGE/USDT,0.14474,108.84448,1710634145382
10980.0,2024-03-17T00:09:07.491Z,limit,DOGE/USDT,0.14484,1590.3432,1710634147491
8945.0,2024-03-17T00:09:09.102Z,limit,DOGE/USDT,0.14484,1295.5938,1710634149102
1893.0,2024-03-17T00:09:19.231Z,limit,DOGE/USDT,0.14499,274.46607,1710634159231
18555.0,2024-03-17T00:09:23.972Z,limit,DOGE/USDT,0.14497,2689.91835,1710634163972
13266.0,2024-03-17T00:09:28.213Z,limit,DOGE/USDT,0.14496,1923.03936,1710634168213
10190.0,2024-03-17T00:09:44.976Z,limit,DOGE/USDT,0.14495,1477.0405,1710634184976
2395.0,2024-03-17T00:09:50.748Z,limit,DOGE/USDT,0.14496,347.1792,1710634190748
5772.0,2024-03-17T00:09:56.521Z,limit,DOGE/USDT,0.14504,837.17088,1710634196521
4257.0,2024-03-17T00:10:01.976Z,limit,DOGE/USDT,0.14492,616.92444,1710634201976
17011.0,2024-03-17T00:10:05.800Z,limit,DOGE/USDT,0.14477,2462.68247,1710634205800
9245.0,2024-03-17T00:10:08.454Z,limit,DOGE/USDT,0.14468,1337.5666,1710634208454
188.0,2024-03-17T00:10:18.414Z,limit,DOGE/USDT,0.14426,27.12088,1710634218414
